,Car Brand,Model,Price,Model Year,Location,Fuel,Driven (Kms),Gear,Ownership,EMI (monthly)
0,Hyundai,Elite i20SPORTZ 1.4,687499,2016,Hyderabad,Diesel,51885,Manual,1,15293
1,Maruti,ErtigaZXI,648699,2014,Hyderabad,Petrol,67232,Manual,1,14430
2,Tata,TiagoXZ 1.2 REVOTRON,481999,2017,Hyderabad,Petrol,28702,Manual,2,10722
3,Maruti,New  Wagon-R1.0 VXI (O),536999,2019,Hyderabad,Petrol,19377,Manual,1,11945
4,Skoda,OctaviaStyle 1.4 TSI MT,1292899,2017,Hyderabad,Petrol,47264,Manual,1,28760
5,Maruti,BalenoZETA 1.2 K12,605799,2016,Hyderabad,Petrol,103354,Manual,1,13476
6,Maruti,New  Wagon-RVXI 1.2L,532599,2019,Hyderabad,Petrol,48692,Manual,2,11847
7,Honda,CityV AT,441599,2010,Hyderabad,Petrol,152381,Automatic,1,9823
8,Honda,Amaze1.2 SMT I VTEC,463599,2015,Hyderabad,Petrol,71525,Manual,2,10313
9,Hyundai,GRAND I10 NIOSSPORTZ 1.2 AT,781099,2021,Hyderabad,Petrol,4777,Automatic,1,17375
10,Hyundai,Verna1.6 CRDI SX + AT,1069899,2018,Hyderabad,Diesel,33367,Automatic,1,23799
11,Hyundai,VENUE1.5 SX CRDI MT,1042799,2020,Hyderabad,Diesel,40139,Manual,1,23196
12,Maruti,,1083299,2020,Hyderabad,Petrol,35019,,1,24097
13,Maruti,IGNISALPHA 1.3 DDIS,618899,2017,Hyderabad,Diesel,56696,Manual,2,13767
14,Mahindra,XUV500W11,2300999,2021,Hyderabad,Diesel,14755,Automatic,1,51184
15,Ford,Ecosport1.5 TITANIUM PLUS TI VCT AT,1260699,2020,Hyderabad,Petrol,5634,Automatic,1,28044
16,Maruti,A StarVXI ABS AT,314699,2012,Hyderabad,Petrol,98240,Automatic,2,7000
17,Maruti,Vitara BrezzaVDI,811499,2019,Hyderabad,Diesel,51619,Manual,1,18051
18,Maruti,Alto K10VXI,273299,2015,Hyderabad,Petrol,234695,Manual,1,6079
19,Maruti,Wagon R 1.0VXI,363999,2012,Hyderabad,Petrol,78088,Manual,1,8097
20,Maruti,Wagon R 1.0VXI,357299,2012,Hyderabad,Petrol,73245,Manual,1,7948
21,Maruti,Vitara BrezzaVDI AMT,800499,2018,Hyderabad,Diesel,81477,Automatic,2,17807
22,Hyundai,Grand i10SPORTZ (O) 1.2 AT VTVT,657799,2018,Hyderabad,Petrol,41620,Automatic,1,14632
23,Maruti,Wagon R 1.0VXI,349599,2012,Hyderabad,Petrol,86777,Manual,2,7777
24,Maruti,AltoVXI,407099,2019,Hyderabad,Petrol,41432,Manual,1,9056
25,Maruti,Wagon R 1.0VXI,419999,2016,Hyderabad,Petrol,55405,Manual,1,9343
26,Maruti,Wagon R 1.0VXI,392199,2016,Hyderabad,Petrol,39789,Manual,1,8724
27,Maruti,Wagon R 1.0VXI,401199,2014,Hyderabad,Petrol,52689,Manual,1,8924
28,Honda,Brio1.2 S MT I VTEC,402699,2015,Hyderabad,Petrol,68623,Manual,1,8958
29,Maruti,Wagon R 1.0VXI AMT,430999,2016,Hyderabad,Petrol,46870,Automatic,1,9587
30,Maruti,Wagon R 1.0VXI,406799,2014,Hyderabad,Petrol,55530,Manual,2,9049
31,Maruti,Eeco7 STR,401399,2018,Hyderabad,Petrol,40023,Manual,2,8929
32,Maruti,Wagon R 1.0VXI,363299,2013,Hyderabad,Petrol,58771,Manual,1,8081
33,Maruti,AltoLXI,201599,2012,Hyderabad,Petrol,28719,Manual,1,4484
34,Maruti,Alto K10VXI,383899,2018,Hyderabad,Petrol,41877,Manual,2,8540
35,Honda,Brio1.2 VX AT I VTEC,435199,2013,Hyderabad,Petrol,27101,Automatic,2,9681
36,Maruti,Eeco5 STR WITH AC PLUSHTR,432199,2019,Hyderabad,Petrol,21336,Manual,1,9614
37,Hyundai,i10SPORTZ 1.1 IRDE2,417199,2016,Hyderabad,Petrol,34335,Manual,2,9280
38,Maruti,Wagon R 1.0VXI,361699,2014,Hyderabad,Petrol,92708,Manual,1,8046
39,Hyundai,Grand i10ASTA 1.1 (O) CRDI,466599,2014,Hyderabad,Diesel,106258,Manual,1,10379
40,Mahindra,TharCRDE 4X4 BS IV,767699,2018,Hyderabad,Diesel,54437,Manual,2,17077
41,Mercedes,Benz C Class220 CDI ELEGANCE AT,865299,2009,Hyderabad,Diesel,66250,Automatic,2,19248
42,Toyota,Fortuner3.0 MT 4X4,871699,2009,Hyderabad,Diesel,216114,Manual,2,19390
43,Hyundai,Creta1.6 SX PLUS PETROL,981499,2017,Hyderabad,Petrol,51628,Manual,1,21833
